workflow_id;human_vulnerable;human_cwes
20251222_131130;yes;CWE-078
20251222_131432;yes;CWE-022
20251222_131656;yes;CWE-022
20251222_131841;yes;CWE-022
20251222_131933;yes;CWE-502
20251222_132147;yes;CWE-611
20251222_132355;yes;CWE-502
20251222_132531;yes;CWE-089
20251222_132623;yes;CWE-798
20251222_133332;yes;CWE-918
20251222_133457;yes;CWE-918
20251222_133554;yes;CWE-095
20251222_133712;yes;CWE-078
20251222_133919;yes;CWE-330
20251222_134008;yes;CWE-329
20251222_134156;yes;CWE-295
20251222_134433;yes;CWE-434
20251222_134805;yes;CWE-117
20251222_134851;yes;CWE-312
20251222_134935;yes;CWE-470
20251222_135030;yes;CWE-400
20251223_111703;no;
20251223_111827;no;
20251223_111909;no;
20251223_112011;no;
20251223_112123;no;
20251223_112158;no;
20251223_112238;no;
20251223_112311;no;
20251223_112346;no;
20251223_112515;no;
20251223_112617;no;
20251223_112703;no;
20251223_112745;no;
20251223_112856;no;
20251223_112947;no;
20251223_113022;no;
20251223_113101;no;
20251223_113146;no;
20251223_113230;no;
20251223_113307;no;
20251223_113409;no;
